SaleID,price
250000,1061.5710712634993
250001,2571.073648363614
250002,7329.183816621725
250003,1203.8664069786016
250004,1961.7780968671577
250005,652.9777338704835
250006,919.0000036986119
250007,3315.631841075296
250008,13288.364221457143
250009,673.4159652326845
250010,988.8778711904288
250011,2805.7748340232406
250012,5540.395887786542
250013,6884.588308666254
250014,1289.968724336756
250015,383.15252843964345
250016,1985.8299420651267
250017,7530.449481022254
250018,5170.158058312557
250019,937.8923189112155
250020,21517.64828156748
250021,7660.687329063719
250022,1862.8393938598642
250023,1852.399627612383
250024,937.401112735007
250025,10305.429317872233
250026,565.1230525366911
250027,11610.678188811755
250028,4776.745467269431
250029,7589.314922865026
250030,17295.76083792824
250031,12999.73366723423
250032,685.6756952197087
250033,13416.216756426207
250034,1303.5389663442893
250035,1535.5520708979739
250036,13917.145136514073
250037,4886.612863583874
250038,1721.3463717688505
250039,283.13399808876534
250040,744.9751839679961
250041,24717.65462674757
250042,373.40724810495385
250043,6320.315875360669
250044,18209.521458560524
250045,898.9324300626394
250046,14301.339198621095
250047,17534.650302014474
250048,1675.4900984959388
250049,2958.7634967731638
250050,609.4518880478863
250051,3875.281591632289
250052,2822.5731585495096
250053,712.9502287069009
250054,15004.613771421262
250055,10432.297493219527
250056,7863.821364898115
250057,3297.0311743640955
250058,1618.698496435807
250059,5105.678418216255
250060,9464.774853844034
250061,834.7492447506426
250062,4158.926037877798
250063,7553.843678357268
250064,1335.1807624364255
250065,1388.8109518525619
250066,410.0294744292504
250067,8845.230263588714
250068,355.70833555529697
250069,16123.449856043308
250070,9898.129235293536
250071,16975.969119546702
250072,6572.376254541966
250073,19351.30516214033
250074,3913.495872996982
250075,11697.748133049141
250076,3314.202795718689
250077,9405.71689015312
250078,349.05340352796503
250079,3882.364561843675
250080,3405.801095738252
250081,2399.688011543075
250082,4067.846197797629
250083,359.1118218374361
250084,1257.604325382852
250085,1524.9728157384247
250086,6833.707807791011
250087,3230.676951509419
250088,2204.2963308303665
250089,42357.377614125566
250090,2545.693651494788
250091,6978.491488847165
250092,1525.6513472462862
250093,15638.492416278323
250094,6792.750396078304
250095,5954.922292590637
250096,2650.880023209861
250097,1479.7199836597579
250098,726.8843149783618
250099,28185.495527747396
250100,20827.949168176892
250101,7928.990121537499
250102,1762.950621326549
250103,10966.783995868003
250104,5261.209867449782
250105,4370.3039822076225
250106,7720.033334369084
250107,122229.31706441299
250108,15448.959575245453
250109,8688.33062497555
250110,971.5700825055529
250111,1773.0039011146841
250112,1775.4020611516055
250113,444.46043525349904
250114,2446.69330207893
250115,1225.5668977003027
250116,14852.908174662494
250117,17731.86380168933
250118,71405.83457908314
250119,177.00900333621632
250120,4051.238322713914
250121,2095.3282774156496
250122,838.8475643096014
